run_id,seed,mode,agent,shift_delta,pre_shift_mae,post_shift_mae,post_shift_aue,adaptation_time,action_counts,stabilize_fraction_post_shift,replay_hash,pass_fail,failure_reason
no_action-interventional-d4.0-s23,23,interventional,no_action,4.0,1.2002550758964547,2.4938457856303713,623.4614464075928,2.0,"{""observe"": 600}",0.0,3f1691957cdde29ca7db9a7a324fb040f4f5ddcdb348620c41ce8cb5808fc60f,n/a,
random_action-interventional-d4.0-s23,23,interventional,random_action,4.0,1.4651653384511913,3.022460061929736,755.615015482434,0.0,"{""observe"": 219, ""destabilize"": 203, ""stabilize"": 178}",0.308,f0dd83207ba4746ddd0e784a3842fdcf5a4af66f2eb65e789c5ebff2ae9f2d6f,n/a,
causal_learned-action_null-d4.0-s23,23,action_null,causal_learned,4.0,1.2002550758964547,2.4938457856303713,623.4614464075928,2.0,"{""observe"": 453, ""stabilize"": 147}",0.468,3f1691957cdde29ca7db9a7a324fb040f4f5ddcdb348620c41ce8cb5808fc60f,n/a,
no_action-action_null-d4.0-s23,23,action_null,no_action,4.0,1.2002550758964547,2.4938457856303713,623.4614464075928,2.0,"{""observe"": 600}",0.0,3f1691957cdde29ca7db9a7a324fb040f4f5ddcdb348620c41ce8cb5808fc60f,n/a,
random_action-action_null-d4.0-s23,23,action_null,random_action,4.0,1.2002550758964547,2.4938457856303713,623.4614464075928,2.0,"{""observe"": 219, ""destabilize"": 203, ""stabilize"": 178}",0.308,3f1691957cdde29ca7db9a7a324fb040f4f5ddcdb348620c41ce8cb5808fc60f,n/a,
causal_learned-interventional-d4.0-s24,24,interventional,causal_learned,4.0,0.950009366538011,1.8440942159023397,461.02355397558495,20.0,"{""observe"": 331, ""stabilize"": 269}",0.488,fe7ae0ea69b3336ed726838420282367ef6837b8b3825ea6288cf12d950b28d6,n/a,
no_action-interventional-d4.0-s24,24,interventional,no_action,4.0,1.1586752454888856,2.5955114038234153,648.8778509558538,114.0,"{""observe"": 600}",0.0,ebf27b6b0c3e5b7c15ae2a87309ccdc54d3525aa7d5f3af653ef4a9bb8f4fb3e,n/a,
random_action-interventional-d4.0-s24,24,interventional,random_action,4.0,1.237453757462716,3.11375221625865,778.4380540646625,82.0,"{""stabilize"": 196, ""observe"": 198, ""destabilize"": 206}",0.332,340aaf98d90703f09e02ca782daad74ed5a2d457267d786d6b8815beb9261a94,n/a,
causal_learned-action_null-d4.0-s24,24,action_null,causal_learned,4.0,1.1586752454888856,2.5955114038234153,648.8778509558538,114.0,"{""observe"": 429, ""stabilize"": 171}",0.096,ebf27b6b0c3e5b7c15ae2a87309ccdc54d3525aa7d5f3af653ef4a9bb8f4fb3e,n/a,
no_action-action_null-d4.0-s24,24,action_null,no_action,4.0,1.1586752454888856,2.5955114038234153,648.8778509558538,114.0,"{""observe"": 600}",0.0,ebf27b6b0c3e5b7c15ae2a87309ccdc54d3525aa7d5f3af653ef4a9bb8f4fb3e,n/a,
random_action-action_null-d4.0-s24,24,action_null,random_action,4.0,1.1586752454888856,2.5955114038234153,648.8778509558538,114.0,"{""stabilize"": 196, ""observe"": 198, ""destabilize"": 206}",0.332,ebf27b6b0c3e5b7c15ae2a87309ccdc54d3525aa7d5f3af653ef4a9bb8f4fb3e,n/a,
causal_learned-interventional-d4.0-s25,25,interventional,causal_learned,4.0,0.9189082999935636,1.5299329406502102,382.48323516255255,17.0,"{""observe"": 241, ""stabilize"": 359}",0.62,3559676ca88396a53b44ee6e1efb67a550ce5b629bb14a21649f9529006cc95b,n/a,
no_action-interventional-d4.0-s25,25,interventional,no_action,4.0,1.1903206741554777,2.513952237380162,628.4880593450405,23.0,"{""observe"": 600}",0.0,592fddcd18dfbc466b8546513d49349d722894815e8e0c8eef9502f14ce8c701,n/a,
random_action-interventional-d4.0-s25,25,interventional,random_action,4.0,1.2232646037771808,3.08077223990925,770.1930599773125,31.0,"{""stabilize"": 199, ""observe"": 201, ""destabilize"": 200}",0.352,23f8f8982b2aa08df5d500f63869c3ac30df7017e37b724ef91180f89b10ab38,n/a,
causal_learned-action_null-d4.0-s25,25,action_null,causal_learned,4.0,1.1903206741554777,2.513952237380162,628.4880593450405,23.0,"{""observe"": 404, ""stabilize"": 196}",0.392,592fddcd18dfbc466b8546513d49349d722894815e8e0c8eef9502f14ce8c701,n/a,
no_action-action_null-d4.0-s25,25,action_null,no_action,4.0,1.1903206741554777,2.513952237380162,628.4880593450405,23.0,"{""observe"": 600}",0.0,592fddcd18dfbc466b8546513d49349d722894815e8e0c8eef9502f14ce8c701,n/a,
